cluster,cluster_subject_en,cluster_subject_no,model,prompt_version,context_hash
p_77,Cabin plots,Hyttetomter,gpt-5.6-sol,approved-topic-label-no-v1,2706a80ed34d5fbce1426f00ad7a1b7371362d571fb283f714eec6cc3a8dd344
p_78,Boat Incidents and Rescues,Båthendelser og redningsaksjoner,gpt-5.6-sol,approved-topic-label-no-v1,23fb2e2274708a5e4650b1c54e61035dadb80259981756ed0bc821120c5047fb
p_79,Northguider grounding and salvage,Grunnstøtingen og bergingen av «Northguider»,gpt-5.6-sol,approved-topic-label-no-v1,a0521999ed08937b16568329f42f71fbd80082633b3d4fc9288dd26c02b72489
p_8,PFAS contamination cleanup,Opprydding av PFAS-forurensning,gpt-5.6-sol,approved-topic-label-no-v1,e288b01c02326a5d4755ecb77e44049af4b55d0063815507a85a36de7ffe12b1
p_80,Mine 7 operations,Driften i Gruve 7,gpt-5.6-sol,approved-topic-label-no-v1,194c289faf797f4f264ee24f8de4f637734577844907f8173ac3649796fa7f53
p_81,Longyearbyen Port,Longyearbyen havn,gpt-5.6-sol,approved-topic-label-no-v1,f830b59898f9887399a5be76ee22c57d47e72a72b0f17aca387d119c9c4da14e
p_82,Alcohol Licensing and Café Leases,Skjenkebevillinger og kaféleieavtaler,gpt-5.6-sol,approved-topic-label-no-v1,8320f8a74e59983dfbf42d87fce0abf332bf6329a6a890cf1e652a550d6fcb11
p_83,Population Trends,Befolkningsutvikling,gpt-5.6-sol,approved-topic-label-no-v1,9a2e633abb33d79b881c88fbf437130fb20e253f4992ba85693795c182c94c4f
p_84,Longyearbyen local politics,Lokalpolitikk i Longyearbyen,gpt-5.6-sol,approved-topic-label-no-v1,9da80197845bcc83cd5693677ca862cd28909cec018e8c8799cbbe7505c6f484
p_85,COVID-19 public health response,Folkehelsetiltak mot covid-19,gpt-5.6-sol,approved-topic-label-no-v1,836400b78d1dc4106ff2eca1a1604e13e60ab4f3d582f12285e4b9abe5ff05a3
p_86,Svalbard COVID-19 restrictions,Koronarestriksjoner på Svalbard,gpt-5.6-sol,approved-topic-label-no-v1,afd10301b937df6a5c710c7a4966cdf1715c1d444d2a6d13af581e08d68cccc5
p_87,Longyearbyen local governance,Lokalstyret i Longyearbyen,gpt-5.6-sol,approved-topic-label-no-v1,9655e286ccf9a657ad2ab202ed709bac3722269ea669ccf6da8225a1749a6ea9
p_88,NAV unemployment benefit cases,NAV-saker om dagpenger,gpt-5.6-sol,approved-topic-label-no-v1,4676ea3b2a438b9c04e1d0c473c9d0c7c5b4cd00522786a32cea54c2f5f1abc3
p_89,COVID-19 economic relief,Økonomiske støtteordninger under koronakrisen,gpt-5.6-sol,approved-topic-label-no-v1,e4ec20ab57098bb7cbd7357bb34e0a3584ae85e6e358c945314b20df2ff8b168
p_9,Film and television,Film og TV,gpt-5.6-sol,approved-topic-label-no-v1,ffaa326e75788aeb07e8fb08b4f5c1b0a60420567c88205879af9b2c8da8f4f5
p_90,Business support schemes,Støtteordninger for næringslivet,gpt-5.6-sol,approved-topic-label-no-v1,c1c16bc61198613a0165e7547da2262cb09f5646d59f398385e191dd927880ad
p_91,Municipal infrastructure,Kommunal infrastruktur,gpt-5.6-sol,approved-topic-label-no-v1,db9af1fd6ea8e4bfe166287dde82f8e4bcbacb48a83a2db383f0ba59b5355bd0
p_92,Building demolition and reuse,Riving og gjenbruk av bygg,gpt-5.6-sol,approved-topic-label-no-v1,14012dc66b7a9cab1aa15080898b741c051ce0bbbf9505f37bdbb2bc19e16cb3
p_93,Tourism industry,Reiselivsnæringen,gpt-5.6-sol,approved-topic-label-no-v1,a03753109d48b90d5d51250c6c00f786016b7ef019813ccdf93dbac092eb9750
p_94,Emergency Planning and Response,Beredskapsplanlegging og krisehåndtering,gpt-5.6-sol,approved-topic-label-no-v1,84aedfd08bc5af1d8bc7ac6c765b434ca7ba05ede4b34573947a62b7162544d3
p_95,Business development policy,Næringsutviklingspolitikk,gpt-5.6-sol,approved-topic-label-no-v1,b8b7c0e4aa0fe709d11e5400215ed08c486cc1eeb0f17cdc6235ab08965f6715
p_96,Svalbard Policy White Paper,Svalbardmeldingen,gpt-5.6-sol,approved-topic-label-no-v1,740872653d4be376f421dc975df94ae755f45526f2e1151c40a9f85ee07ed8e4
p_97,Waste and Vehicle Disposal,Avfall og vraking av kjøretøy,gpt-5.6-sol,approved-topic-label-no-v1,f759ac6ad4f1bf9b9be29d54c3fe0b022b22389a23fede3cc72ee2bd1ddbcbe4
p_98,Tourism industry,Reiselivsnæringen,gpt-5.6-sol,approved-topic-label-no-v1,a09deddae4622e7ca09f0558036c63aa4dea2f17f9f9b1f0cd77cb017ebc75ac
p_99,Longyearbyen housing policy,Boligpolitikk i Longyearbyen,gpt-5.6-sol,approved-topic-label-no-v1,cbe93374262e327f4919b4a1b8de7bc1bb43afa3ccb949eef430b5adca727726
